gender,Partner,Dependents,PhoneService,tenure,MonthlyCharges
Male,No,No,Yes,72,109.2
Female,Yes,Yes,Yes,41,74.7
Female,Yes,No,Yes,65,94.4
Female,No,No,Yes,13,54.8
Male,No,No,Yes,4,75.35
Male,No,No,Yes,41,65.0
Male,No,No,Yes,15,74.4
Male,No,No,Yes,1,48.55
Male,No,No,Yes,42,99.0
Female,Yes,No,Yes,51,93.5
Female,Yes,Yes,Yes,2,70.4
Male,Yes,No,No,1,40.2
Male,No,Yes,Yes,32,83.7
Male,No,No,Yes,10,19.85
Female,Yes,Yes,No,67,59.55
Female,Yes,Yes,Yes,61,115.1
Male,No,No,Yes,50,114.35
Female,Yes,No,Yes,2,44.6
Female,Yes,No,No,29,45.0
Male,No,No,No,3,41.15
Male,No,No,Yes,13,106.9
Male,Yes,No,Yes,57,89.85
Female,No,No,No,31,49.85
Female,Yes,No,Yes,45,113.3
Female,Yes,Yes,Yes,61,88.1
Male,No,No,Yes,50,24.9
Female,No,No,Yes,19,105.0
Male,No,No,Yes,59,19.35
Female,Yes,No,Yes,71,24.25
Female,No,No,Yes,16,94.45
Male,Yes,No,Yes,57,59.75
Male,No,No,No,1,24.8
Male,Yes,No,Yes,20,107.05
Male,No,No,Yes,1,70.6
Male,Yes,No,Yes,5,85.4
Female,Yes,No,Yes,52,105.05
Male,Yes,No,Yes,21,64.95
Male,No,No,No,14,55.0
Female,No,No,Yes,5,50.55
Female,No,No,Yes,6,55.15
Female,No,No,Yes,10,51.2
Female,No,Yes,Yes,1,25.4
Female,No,No,Yes,68,54.45
Male,Yes,Yes,Yes,18,95.15
Female,No,No,Yes,22,76.0
Female,No,No,Yes,20,44.35
Male,Yes,No,Yes,1,70.0
Male,No,No,Yes,8,74.5
Male,No,No,Yes,10,44.85
Male,No,No,Yes,24,76.1
Male,No,No,Yes,35,61.2
Male,Yes,Yes,Yes,23,86.8
Female,No,No,Yes,6,89.35
Female,No,No,Yes,12,19.7
Male,No,No,Yes,1,20.25
Female,Yes,Yes,Yes,71,76.05
Male,Yes,No,Yes,35,100.8
Male,Yes,Yes,Yes,40,74.55
Female,No,Yes,Yes,1,73.6
Male,No,No,Yes,23,64.9
Female,No,No,Yes,4,95.45
Male,No,No,Yes,4,90.4
Female,Yes,Yes,No,68,60.3
Male,No,Yes,Yes,38,81.85
Male,Yes,Yes,Yes,52,24.8
Male,Yes,No,Yes,32,74.9
Male,Yes,Yes,Yes,29,75.55
Male,Yes,Yes,Yes,38,101.15
Male,No,Yes,Yes,48,78.75
Female,No,No,Yes,1,19.25
Female,No,No,Yes,22,89.05
Female,No,No,Yes,43,115.05
Female,Yes,No,Yes,5,69.35
Male,No,No,Yes,5,80.6
Male,Yes,Yes,Yes,51,110.05
Male,No,No,Yes,71,19.9
Female,Yes,Yes,Yes,38,80.3
Male,Yes,No,Yes,24,93.15
Male,Yes,No,Yes,35,91.5
Female,No,No,Yes,54,82.45
Female,Yes,Yes,No,72,60.0
Male,No,No,Yes,1,44.8
Female,Yes,Yes,Yes,9,48.6
Male,No,No,No,69,60.05
Female,Yes,No,Yes,52,102.7
Female,Yes,No,Yes,11,82.9
Female,No,No,Yes,2,70.35
Female,Yes,Yes,No,28,35.9
Female,No,No,Yes,17,82.65
Female,Yes,Yes,Yes,35,19.85
Female,No,No,Yes,8,19.2
Male,No,No,Yes,46,94.9
Female,No,No,Yes,7,73.85
Female,No,No,Yes,2,80.6
Male,Yes,Yes,Yes,68,75.8
Female,No,No,Yes,43,104.6
Female,No,No,Yes,68,88.15
Female,No,No,Yes,36,94.8
Male,Yes,No,Yes,63,103.4
Female,No,No,Yes,32,54.65
Female,Yes,No,Yes,71,85.75
Female,Yes,Yes,Yes,66,67.45
Male,No,No,Yes,63,20.5
Female,No,Yes,Yes,41,20.25
Female,No,No,Yes,1,72.1
Female,No,No,Yes,2,90.4
Female,Yes,No,Yes,70,19.45
Female,No,No,No,23,44.95
Female,Yes,No,Yes,64,97.0
Male,Yes,Yes,Yes,37,62.8
Male,No,Yes,Yes,17,44.6
Female,No,No,Yes,7,89.15
Male,Yes,Yes,Yes,4,84.8
Female,No,No,No,21,41.9
Female,No,No,Yes,10,80.25
Female,No,No,Yes,16,54.1
Male,Yes,No,Yes,64,105.25
Male,Yes,No,No,27,30.75
Male,Yes,Yes,Yes,42,97.1
Male,No,Yes,Yes,5,20.2
Female,No,No,Yes,41,98.8
Male,Yes,No,Yes,58,50.3
Female,No,No,Yes,47,20.55
Male,No,No,Yes,18,75.9
Male,No,No,Yes,5,96.5
Male,Yes,No,Yes,23,59.95
Female,No,No,Yes,1,19.15
Male,Yes,No,Yes,71,98.65
Male,Yes,Yes,Yes,72,112.6
Male,Yes,Yes,Yes,33,20.6
Male,No,No,Yes,2,85.65
Male,No,Yes,No,24,35.75
Female,Yes,Yes,Yes,56,99.75
Male,No,No,Yes,37,96.1
Female,No,No,Yes,43,85.1
Male,No,No,No,1,25.35
Female,Yes,No,Yes,25,104.95
Female,No,No,Yes,61,89.65
Male,No,No,Yes,17,86.75
Female,Yes,No,Yes,41,86.2
Male,No,No,Yes,1,50.65
Male,Yes,Yes,No,72,64.8
Male,No,No,Yes,1,90.85
Male,No,No,Yes,48,108.1
Male,Yes,No,Yes,11,19.95
Female,Yes,No,Yes,55,85.45
Female,No,No,No,42,54.75
Male,No,No,Yes,44,90.4
Male,No,Yes,Yes,1,44.0
Female,No,No,Yes,27,95.6
Male,Yes,No,Yes,27,84.8
Female,No,No,Yes,2,44.3
Female,No,No,Yes,19,19.9
Female,Yes,No,Yes,42,95.05
Female,No,No,Yes,66,90.05
Male,Yes,No,Yes,33,109.9
Female,No,No,Yes,34,73.95
Male,No,No,No,33,54.6
Female,Yes,Yes,Yes,23,20.05
Female,No,No,Yes,32,19.75
Female,No,No,Yes,11,20.05
Male,Yes,Yes,Yes,69,99.45
Female,Yes,No,Yes,68,55.9
Male,No,No,Yes,20,19.7
Male,No,No,Yes,72,19.8
Male,Yes,Yes,Yes,60,95.4
Male,Yes,Yes,Yes,32,93.95
Female,No,No,Yes,1,19.9
Male,No,No,Yes,1,19.6
Male,No,No,Yes,3,81.35
Female,Yes,No,Yes,46,24.45
Female,Yes,No,Yes,29,74.95
Male,No,No,Yes,51,87.35
Female,Yes,No,Yes,48,70.65
Female,Yes,Yes,Yes,16,73.25
Male,Yes,No,Yes,70,98.7
Female,Yes,Yes,Yes,40,24.8
Female,Yes,Yes,Yes,22,83.3
Female,No,No,Yes,1,75.3
Female,Yes,Yes,Yes,5,24.3
Female,No,No,Yes,7,69.85
Male,No,Yes,Yes,29,100.55
Male,Yes,Yes,Yes,44,25.7
Female,No,No,No,10,40.7
Female,Yes,No,Yes,55,51.65
Male,Yes,No,Yes,52,105.1
Female,Yes,Yes,Yes,10,85.95
Male,No,No,Yes,18,75.6
Female,Yes,No,Yes,68,58.25
Female,Yes,Yes,Yes,61,19.4
Female,Yes,Yes,No,72,65.2
Male,No,No,Yes,2,53.45
Male,No,No,Yes,12,45.4
Male,Yes,No,Yes,41,19.75
Female,No,No,No,26,44.45
Male,Yes,No,Yes,36,20.85
Male,Yes,Yes,Yes,72,114.05
Male,Yes,No,Yes,35,89.85
Male,No,No,Yes,1,55.05
Female,Yes,Yes,Yes,16,112.95
Female,No,No,Yes,49,101.55
Female,Yes,No,Yes,54,114.65
Female,No,Yes,Yes,18,64.8
Female,Yes,No,Yes,36,80.4
Female,No,No,Yes,60,105.9
Female,No,No,Yes,1,69.55
Female,Yes,Yes,Yes,52,25.05
Male,Yes,Yes,Yes,8,94.75
Male,Yes,Yes,Yes,72,105.5
Female,No,No,Yes,64,24.7
Female,No,No,Yes,22,69.75
Male,Yes,No,No,60,60.2
Female,Yes,Yes,Yes,28,81.05
Female,Yes,No,Yes,61,24.4
Female,No,No,Yes,24,104.15
Male,Yes,Yes,Yes,28,92.9
Female,Yes,Yes,Yes,30,80.8
Male,Yes,No,Yes,2,20.0
Male,No,No,Yes,1,75.1
Male,No,Yes,Yes,6,19.65
Female,Yes,No,Yes,24,69.45
Male,Yes,Yes,Yes,4,101.15
Male,No,No,Yes,7,99.8
Male,Yes,No,Yes,72,116.05
Male,No,No,No,70,40.05
Male,Yes,No,Yes,64,102.1
Male,Yes,Yes,Yes,72,89.7
Female,No,Yes,Yes,44,19.9
Female,Yes,Yes,Yes,13,55.95
Female,No,No,Yes,17,20.65
Male,No,No,Yes,1,55.0
Male,Yes,No,Yes,9,70.05
Male,Yes,No,Yes,24,53.6
Female,Yes,Yes,Yes,1,74.7
Male,No,No,Yes,24,80.25
Male,Yes,Yes,Yes,35,76.05
Female,Yes,Yes,Yes,7,75.7
Male,No,No,Yes,5,96.1
Female,No,Yes,Yes,15,69.0
Male,Yes,Yes,Yes,11,19.65
Female,Yes,No,No,48,45.3
Female,No,No,Yes,20,81.45
Female,Yes,No,Yes,72,108.5
Female,Yes,Yes,Yes,8,83.55
Male,Yes,Yes,Yes,72,84.5
Female,No,No,Yes,15,100.15
Male,No,No,Yes,72,88.6
Female,Yes,Yes,No,0,52.55
Male,No,Yes,Yes,1,74.35
Male,Yes,Yes,Yes,63,104.8
Female,No,No,Yes,2,59.0
Female,Yes,No,Yes,2,74.4
Male,Yes,No,Yes,61,64.05
Male,No,No,Yes,1,20.4
Male,No,No,No,22,43.75
Male,Yes,No,Yes,28,60.9
Female,Yes,No,Yes,70,19.8
Female,No,No,No,5,28.45
Female,No,No,Yes,12,99.7
Male,No,No,Yes,34,116.25
Female,Yes,No,Yes,71,80.7
Female,Yes,Yes,Yes,70,65.2
Female,Yes,Yes,Yes,52,84.05
Male,No,Yes,Yes,69,79.45
Female,No,No,Yes,20,94.1
Male,No,Yes,Yes,11,78.0
Male,Yes,No,Yes,2,94.2
Female,Yes,Yes,Yes,6,80.5
Female,No,No,Yes,1,19.85
Male,Yes,Yes,Yes,20,94.3
Male,No,No,Yes,61,106.45
Female,Yes,No,Yes,5,74.35
Female,No,No,Yes,56,105.45
Male,No,No,Yes,30,95.0
Male,No,No,Yes,40,104.8
Female,No,No,Yes,28,54.3
Female,Yes,No,Yes,5,70.05
Female,Yes,No,Yes,27,75.2
Male,No,No,Yes,12,20.05
Male,Yes,Yes,Yes,67,105.4
Male,Yes,No,Yes,29,51.6
Male,Yes,Yes,Yes,55,85.5
Female,No,No,Yes,23,75.6
Male,Yes,No,Yes,34,100.05
Male,No,No,Yes,52,91.25
Male,Yes,Yes,Yes,72,115.75
Male,Yes,Yes,Yes,58,94.7
Male,Yes,Yes,Yes,35,19.6
Female,No,No,Yes,56,99.9
Female,Yes,Yes,Yes,24,21.1
Male,Yes,Yes,Yes,70,20.05
Male,No,No,Yes,2,79.95
Male,Yes,Yes,Yes,68,107.15
Female,No,No,Yes,1,85.0
Male,No,No,Yes,12,89.55
Female,Yes,No,Yes,63,81.55
Female,Yes,Yes,Yes,33,58.45
Female,Yes,No,Yes,69,95.65
Female,Yes,Yes,Yes,60,80.6
Female,Yes,Yes,Yes,72,113.1
Female,No,No,Yes,11,58.95
Female,No,No,Yes,1,19.55
Male,No,No,Yes,10,86.05
Male,No,No,No,13,45.55
Male,Yes,Yes,Yes,34,78.95
Male,Yes,Yes,Yes,39,86.3
Female,No,No,Yes,65,105.05
Male,Yes,No,Yes,50,101.9
Male,No,No,Yes,15,19.75
Male,Yes,Yes,Yes,72,110.3
Female,Yes,Yes,Yes,72,115.6
Male,Yes,Yes,Yes,55,19.35
Female,Yes,Yes,Yes,23,25.6
Male,No,No,Yes,32,80.35
Female,Yes,Yes,Yes,56,68.75
Female,No,No,Yes,1,19.9
Male,No,No,Yes,38,70.6
Male,No,No,Yes,11,70.2
Male,No,No,Yes,1,49.3
Male,Yes,No,Yes,56,107.25
Male,Yes,No,Yes,3,23.6
Male,Yes,Yes,Yes,7,69.7
Male,Yes,Yes,Yes,59,99.5
Male,No,No,Yes,7,64.3
Male,Yes,Yes,Yes,71,70.85
Male,Yes,Yes,Yes,15,101.9
Male,Yes,No,Yes,71,73.5
Female,No,No,Yes,35,100.25
Female,No,No,No,11,40.4
Female,Yes,Yes,Yes,60,19.25
Male,No,No,Yes,47,59.6
Female,No,No,Yes,11,64.9
Male,Yes,No,Yes,56,100.3
Female,Yes,No,Yes,28,110.85
Male,Yes,No,Yes,61,81.05
Male,Yes,Yes,Yes,31,98.05
Male,No,No,Yes,9,70.5
Male,Yes,No,Yes,35,94.55
Male,No,No,Yes,2,19.65
Female,Yes,Yes,Yes,12,19.0
Female,No,No,Yes,1,75.3
Female,No,No,Yes,4,89.2
Female,Yes,Yes,Yes,1,19.0
Female,No,No,Yes,3,20.0
Female,No,No,Yes,1,85.7
Male,No,No,Yes,52,63.25
Male,Yes,Yes,Yes,5,20.1
Male,Yes,No,Yes,72,99.15
Male,Yes,Yes,Yes,71,90.4
Male,Yes,No,Yes,72,111.9
Male,Yes,Yes,Yes,46,24.9
Male,Yes,Yes,Yes,63,83.5
Male,No,No,Yes,30,84.3
Male,No,No,Yes,1,45.6
Female,No,No,Yes,12,61.65
Male,No,No,No,16,54.85
Male,No,No,Yes,4,65.55
Male,Yes,No,Yes,51,90.35
Male,Yes,No,Yes,65,20.4
Male,No,No,Yes,16,74.55
Male,No,No,Yes,2,19.95
Female,Yes,Yes,Yes,66,74.25
Male,No,No,Yes,46,108.65
Female,No,No,Yes,32,109.55
Male,Yes,No,Yes,72,86.65
Male,Yes,Yes,Yes,38,81.0
Male,No,Yes,Yes,51,47.85
Male,Yes,Yes,Yes,72,114.55
Female,Yes,No,Yes,65,105.25
Male,Yes,Yes,No,9,29.95
Female,Yes,Yes,Yes,9,65.0
Male,No,Yes,Yes,66,20.55
Female,No,No,Yes,44,109.8
Male,No,No,Yes,50,69.5
Female,No,No,Yes,15,48.85
Male,No,No,No,8,25.25
Female,No,No,Yes,66,102.85
Female,No,No,Yes,57,87.55
Female,No,No,Yes,7,78.55
Male,Yes,Yes,No,10,34.55
Female,No,No,Yes,62,92.05
Male,Yes,Yes,Yes,40,85.05
Female,No,No,Yes,20,19.7
Female,No,No,Yes,7,20.0
Female,Yes,No,Yes,25,95.15
Male,Yes,No,Yes,23,84.25
Female,Yes,No,Yes,66,104.6
Female,No,No,Yes,72,111.65
Male,Yes,No,Yes,49,90.05
Male,Yes,Yes,Yes,43,110.75
Female,Yes,No,Yes,46,55.0
Male,Yes,Yes,Yes,72,89.85
Male,No,No,Yes,10,20.35
Female,No,No,No,40,54.55
Female,Yes,Yes,Yes,65,105.5
Male,No,No,Yes,31,99.45
Female,Yes,No,Yes,68,70.9
Male,Yes,Yes,Yes,56,104.55
Male,Yes,No,Yes,10,85.25
Male,Yes,Yes,Yes,68,25.4
Female,Yes,Yes,Yes,43,56.15
Male,No,No,Yes,1,89.55
Female,No,No,Yes,49,89.85
Female,Yes,Yes,Yes,15,25.25
Male,Yes,No,Yes,20,94.55
Male,No,No,Yes,1,45.7
Male,Yes,Yes,Yes,50,69.65
Female,No,No,Yes,2,89.5
Male,No,No,Yes,24,70.0
Female,No,No,Yes,3,69.55
Female,No,No,Yes,1,74.6
Male,Yes,Yes,Yes,35,20.1
Female,No,No,Yes,17,24.8
Female,No,No,Yes,8,19.65
Male,No,No,Yes,10,95.1
Male,Yes,Yes,Yes,68,88.85
Male,Yes,No,Yes,45,78.8
Male,Yes,Yes,Yes,2,19.85
Male,Yes,No,Yes,37,20.35
Female,No,No,No,4,24.25
Female,No,No,Yes,10,45.25
Male,No,No,Yes,1,20.05
Male,Yes,Yes,Yes,65,69.55
Female,Yes,Yes,Yes,57,19.5
Female,No,No,Yes,3,74.75
Female,No,No,Yes,2,69.65
Male,No,No,No,49,30.2
Female,No,No,Yes,4,45.65
Female,Yes,No,No,70,57.8
Female,Yes,Yes,Yes,53,19.85
Male,Yes,Yes,Yes,53,25.55
Female,No,No,Yes,1,75.05
Male,No,No,Yes,22,24.85
Male,No,No,No,52,49.15
Male,No,No,Yes,65,110.35
Female,No,No,Yes,48,24.55
Female,No,No,No,2,34.7
Male,No,No,Yes,3,107.95
Male,Yes,No,Yes,45,81.4
Male,Yes,Yes,Yes,1,80.0
Female,Yes,Yes,Yes,61,73.8
Male,No,No,Yes,3,64.4
Female,No,No,Yes,40,103.75
Female,No,No,Yes,1,71.1
Female,No,No,Yes,1,49.9
Male,No,No,Yes,51,24.6
Male,No,No,Yes,2,49.25
Male,No,No,No,52,30.1
Male,No,No,Yes,51,83.4
Male,No,No,Yes,1,20.45
Male,Yes,Yes,Yes,31,75.25
Male,No,Yes,Yes,47,20.55
Female,No,No,Yes,3,75.1
Female,No,No,Yes,22,20.05
Female,Yes,No,Yes,1,20.65
Male,Yes,No,Yes,72,85.15
Male,Yes,Yes,Yes,3,50.15
Male,Yes,Yes,Yes,47,84.95
Male,Yes,Yes,Yes,72,66.5
Male,Yes,Yes,Yes,66,63.3
Male,No,No,Yes,35,83.15
Male,No,No,Yes,29,84.9
Female,No,No,Yes,2,20.55
Male,No,No,Yes,4,49.25
Female,No,No,Yes,25,79.85
Female,No,No,Yes,65,59.6
Male,No,No,Yes,27,104.65
Male,Yes,No,Yes,29,75.3
Male,Yes,Yes,Yes,29,80.1
Male,No,No,Yes,1,19.55
Female,Yes,No,Yes,20,81.0
Female,No,No,Yes,58,24.7
Female,No,Yes,Yes,14,86.0
Male,Yes,No,Yes,72,25.4
Male,No,No,Yes,46,89.15
Female,Yes,No,No,71,58.25
Male,No,No,Yes,32,85.65
Female,No,No,No,26,50.35
Male,Yes,No,Yes,68,80.35
Male,Yes,Yes,Yes,2,20.2
Male,Yes,Yes,Yes,61,20.55
Female,Yes,Yes,Yes,4,85.95
Male,No,No,Yes,3,45.35
Male,Yes,No,Yes,33,94.5
Male,Yes,No,Yes,9,21.25
Female,No,No,Yes,22,26.25
Female,Yes,Yes,Yes,5,80.85
Female,No,No,Yes,30,91.7
Male,No,No,Yes,65,74.2
Female,No,No,Yes,45,87.25
Male,No,No,Yes,5,20.35
Male,Yes,Yes,Yes,25,75.5
Female,Yes,Yes,Yes,72,79.05
Female,Yes,No,Yes,27,90.15
Male,Yes,Yes,No,32,50.6
Female,No,No,Yes,30,110.45
Male,Yes,No,Yes,70,101.0
Male,No,No,Yes,42,79.35
Female,Yes,No,Yes,72,89.85
Female,No,No,Yes,47,65.0
Female,No,No,Yes,2,80.45
Male,No,No,Yes,10,98.55
Female,Yes,Yes,Yes,61,24.1
Female,No,No,Yes,5,44.05
Female,Yes,No,Yes,72,110.8
Male,Yes,Yes,Yes,72,114.95
Female,No,No,Yes,3,75.05
Male,Yes,No,Yes,48,19.25
Female,No,No,Yes,63,90.05
Female,No,No,Yes,27,56.7
Male,Yes,Yes,Yes,70,80.15
Male,Yes,Yes,Yes,7,71.35
Male,No,Yes,Yes,0,20.25
Female,Yes,No,Yes,2,90.35
Male,No,No,Yes,20,98.55
Male,No,No,Yes,66,19.7
